,AID,GI,GeneID,ProteinName,GeneSymbol
0,1508648,,,,
1,1508647,130339,24660,Peripheral myelin protein 22,Pmp22
2,1508645,,,,
3,1508644,130339,24660,Peripheral myelin protein 22,Pmp22
4,1508642,,,,
5,1508640,126501,116160065,Luciferin 4-monooxygenase,LOC116160065
6,1508639,,,,
7,1508638,,,,
8,1508641,,,,
9,1671201,115371803,1576,cytochrome P450 family 3 subfamily A polypeptide 4,CYP3A4
10,1671200,146048409,3757,potassium voltage-gated channel subfamily H member 2,KCNH2
11,1671199,119619719,1544,"cytochrome P450, family 1, subfamily A, polypeptide 2",CYP1A2
12,1671198,527178914,1559,cytochrome P450 family 2 subfamily C polypeptide 9 [Homo sapiens],CYP2C9
13,1671197,55140668,1557,"cytochrome P450, family 2, subfamily C, polypeptide 19 [Homo sapiens]",CYP2C19
14,1671196,1047837853,1565,cytochrome P450 2D6,CYP2D6
15,1671194,586067,6622,Alpha-synuclein,SNCA
16,1671193,,,,
17,1671188,74730602,84706,Alanine aminotransferase 2,GPT2
18,1671187,74730602,84706,Alanine aminotransferase 2,GPT2
19,1645847,983657308,1489834,G [Vesicular stomatitis virus],VSIVgp4
20,1645846,,43740568,,S
21,1645845,,,,
22,1645844,,43740568,,S
23,1347434,23813666,57379,Single-stranded DNA cytosine deaminase,AICDA
24,1347433,23813666,57379,Single-stranded DNA cytosine deaminase,AICDA
25,1347431,23813666,57379,Single-stranded DNA cytosine deaminase,AICDA
26,1347430,23813666,57379,Single-stranded DNA cytosine deaminase,AICDA
27,1347429,23813666,57379,Single-stranded DNA cytosine deaminase,AICDA
28,1347427,23813666,57379,Single-stranded DNA cytosine deaminase,AICDA
29,1347432,,,,
30,1508630,,,,
31,1508629,,,,
32,1508628,,,,
33,1508627,,,,
34,1508624,296434520,3064,Huntingtin,HTT
35,1508623,296434520,3064,Huntingtin,HTT
36,1508622,296434520,3064,Huntingtin,HTT
37,1508621,296434520,3064,Huntingtin,HTT
38,1645842,1871774576,1559,"cytochrome P450 2C9, partial",CYP2C9
39,1645841,115371803,1576,cytochrome P450 family 3 subfamily A polypeptide 4,CYP3A4
40,1645840,1047837853,1565,cytochrome P450 2D6,CYP2D6
41,1508637,,,,
42,1508636,33307712,5243,P-glycoprotein,ABCB1
43,1508636,33307712,5243,P-glycoprotein,ABCB5
44,1508636,33307712,340273,P-glycoprotein,ABCB1
45,1508636,33307712,340273,P-glycoprotein,ABCB5
46,1508635,941355839,100136865,"ATP-binding cassette, sub-family B (MDR/TAP), member 4 isoform 1",abcb4
47,1508633,404435391,798527,"ABC transporter B family member 5, partial",abcb5
48,1508620,375332280,10519,"Chain A, Calcium and integrin-binding protein 1",CIB1
49,1508619,375332280,10519,"Chain A, Calcium and integrin-binding protein 1",CIB1
50,1508618,375332280,10519,"Chain A, Calcium and integrin-binding protein 1",CIB1
51,1508617,375332280,10519,"Chain A, Calcium and integrin-binding protein 1",CIB1
52,1508616,,,,
53,1508606,,,,
54,1494158,,,,
55,1494157,,,,
56,1494156,,,,
57,1479150,,,,
58,1479149,,,,
59,1479148,30173397,1489668,Spike glycoprotein,S
60,1479147,,,,
61,1479146,,,,
62,1479145,30173397,1489668,Spike glycoprotein,S
63,1479144,,,,
64,1347414,124469,3456,Interferon beta,IFNB1
65,1347414,124469,3456,Interferon beta,HLA-B
66,1347414,124469,3106,Interferon beta,IFNB1
67,1347414,124469,3106,Interferon beta,HLA-B
68,1347412,124469,3456,Interferon beta,IFNB1
69,1347412,124469,3456,Interferon beta,HLA-B
70,1347412,124469,3106,Interferon beta,IFNB1
71,1347412,124469,3106,Interferon beta,HLA-B
72,1347415,124469,3456,Interferon beta,IFNB1
73,1347415,124469,3456,Interferon beta,HLA-B
